Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
2.6%,,33707,Below Threshold,$347,1.5-3%,67,Moderate,Bangladesh,,,20756,$0,$48B,3.1%,$11,,5.9%,0%,0.16,67,66,1%,1,36%,60%,0.041,137.0M,24.8%,Asia,$0B,$0B,12/1/2002
2.6%,,418,Below Threshold,$897,1.5-3%,62,Low,Bhutan,,,,$0,$1B,7.9%,$71,,5.3%,2%,0.153,62,62,,1,38%,58%,0.039,0.6M,27.6%,Asia,$0B,,12/1/2002
2.2%,,5321,Below Threshold,"$16,868",1.5-3%,77,Friendly,Brunei Darussalam,,,2157,"$14,064",$6B,3.1%,$526,,0.8%,15%,0.055,78,75,44%,1,30%,67%,0.029,0.3M,72.1%,Asia,$0B,$0B,12/1/2002
2.7%,,2208,Below Threshold,$337,1.5-3%,64,Moderate,Cambodia,,,3994,$0,$4B,6.4%,$22,,6.9%,0%,,67,61,3%,1,39%,57%,0.04,12.7M,18.8%,Asia,$1B,$0B,12/1/2002
1.3%,,3694242,Below Threshold,"$1,135",Below 1.5%,73,Friendly,China,,,1253831,$0,"$1,454B",4.8%,$54,,2.6%,5%,0.053,74,72,16%,1,24%,69%,0.072,"1,280.4M",38.4%,Asia,$22B,$17B,12/1/2002
1.2%,,3388,Below Threshold,$779,Below 1.5%,73,Very Friendly,Georgia,,,2544,$0,$3B,8.7%,$64,,2.8%,2%,0.236,76,69,11%,1,21%,66%,0.134,4.4M,52.3%,Asia,$0B,$0B,12/1/2002
0.7%,,36952,Below Threshold,"$24,666",Below 1.5%,82,Very Friendly,"Hong Kong SAR, China",,,13195,"$23,440",$166B,,,,,43%,0.05,85,79,93%,1,16%,72%,0.115,6.7M,100.0%,Asia,$10B,$12B,12/1/2002
2.5%,,1226791,Below Threshold,$487,1.5-3%,63,Moderate,India,,,477540,$0,$524B,4.4%,$21,,6.2%,2%,0.119,64,62,1%,1,33%,62%,0.045,"1,076.7M",28.2%,Asia,$3B,$4B,12/1/2002
2.1%,,306737,Below Threshold,$910,1.5-3%,68,Moderate,Indonesia,,,164879,$0,$196B,2.2%,$20,,3.8%,2%,0.189,70,66,5%,1,30%,65%,0.048,215.0M,43.6%,Asia,$6B,$5B,12/1/2002
0.9%,,1216751,Below Threshold,"$31,236",Below 1.5%,82,Very Friendly,Japan,,,510390,"$28,128","$3,981B",7.9%,"$2,455",,0.3%,47%,0.019,85,78,64%,1,14%,68%,0.182,127.4M,81.6%,Asia,$6B,$35B,12/1/2002
1.5%,,151946,Below Threshold,"$1,658",1.5-3%,67,Friendly,Kazakhstan,,,39679,$0,$25B,3.6%,$61,,3.4%,2%,,72,61,7%,1,26%,67%,0.071,14.9M,55.3%,Asia,$1B,$1B,12/1/2002
1.7%,,76109,Below Threshold,,1.5-3%,67,Not Clustered,"Korea, Dem. Rep.",,,19566,,,,,,3.4%,,,70,63,,1,26%,68%,0.065,23.2M,59.6%,Asia,,,12/1/2002
1.0%,,465632,Below Threshold,"$12,789",Below 1.5%,77,Very Friendly,"Korea, Rep.",,,198667,"$9,376",$609B,4.8%,$581,,0.6%,59%,0.068,80,73,70%,1,20%,72%,0.081,47.6M,80.3%,Asia,$8B,$11B,12/1/2002
1.9%,,4848,Below Threshold,$322,1.5-3%,68,Friendly,Kyrgyz Republic,,,2422,$0,$2B,5.4%,$17,,3.9%,3%,0.248,72,64,1%,1,34%,61%,0.056,5.0M,35.3%,Asia,$0B,$0B,12/1/2002
2.9%,,1177,Below Threshold,$317,1.5-3%,63,Low,Lao PDR,,,,$0,$2B,4.0%,$13,,7.8%,0%,0.293,64,62,1%,1,43%,54%,0.037,5.5M,24.0%,Asia,$0B,$0B,12/1/2002
0.8%,,1525,Below Threshold,"$15,779",Below 1.5%,78,Not Clustered,"Macao SAR, China",,,,"$14,064",$7B,,,,,25%,0.061,80,76,62%,1,21%,72%,0.074,0.4M,100.0%,Asia,$4B,$1B,12/1/2002
2.1%,,135129,Below Threshold,"$4,131",1.5-3%,73,Very Friendly,Malaysia,,,51009,$0,$101B,3.3%,$138,,0.8%,32%,0.065,75,71,37%,1,32%,64%,0.04,24.4M,63.9%,Asia,$8B,$3B,12/1/2002
2.2%,,689,Below Threshold,"$2,929",1.5-3%,72,Friendly,Maldives,,,,$0,$1B,5.2%,$152,,2.8%,5%,0.135,73,70,15%,1,39%,57%,0.041,0.3M,30.0%,Asia,$0B,$0B,12/1/2002
1.9%,,8287,Below Threshold,$572,1.5-3%,64,Friendly,Mongolia,,,2586,$0,$1B,4.8%,$28,,4.4%,2%,0.355,67,61,9%,1,32%,64%,0.037,2.4M,59.3%,Asia,$0B,$0B,12/1/2002
2.0%,,9208,Below Threshold,,1.5-3%,63,Low,Myanmar,,,12968,,,2.4%,$3,,5.6%,0%,0.15,65,61,0%,1,30%,66%,0.048,49.3M,27.7%,Asia,$0B,$0B,12/1/2002
3.1%,,2710,Below Threshold,$251,Above 3%,63,Moderate,Nepal,,,8467,$0,$6B,5.6%,$14,,5.4%,0%,0.068,64,62,0%,1,40%,56%,0.04,24.1M,14.3%,Asia,$0B,$0B,12/1/2002
2.9%,,114084,Below Threshold,$483,1.5-3%,65,Moderate,Pakistan,,,65775,$0,$72B,3.0%,$15,,8.5%,3%,,65,64,1%,1,40%,56%,0.04,149.7M,33.8%,Asia,$1B,$0B,12/1/2002
2.9%,,71338,Below Threshold,"$1,005",1.5-3%,67,Moderate,Philippines,,,38767,$0,$81B,2.8%,$28,,2.9%,4%,0.091,70,64,19%,1,38%,59%,0.033,81.0M,47.4%,Asia,$2B,$2B,12/1/2002
1.1%,,47231,Below Threshold,"$22,017",Below 1.5%,79,Very Friendly,Singapore,,,21005,"$18,752",$92B,2.9%,$632,,0.3%,47%,0.053,81,77,80%,1,21%,72%,0.077,4.2M,100.0%,Asia,$4B,$8B,12/1/2002
1.9%,,11008,Below Threshold,$904,1.5-3%,73,Friendly,Sri Lanka,,,8199,$0,$17B,3.9%,$34,,1.3%,1%,0.132,76,69,5%,1,26%,67%,0.065,18.9M,18.4%,Asia,$1B,$0B,12/1/2002
2.9%,,1881,Below Threshold,$191,1.5-3%,65,Moderate,Tajikistan,,,2129,$0,$1B,4.5%,$9,,6.6%,0%,0.147,68,61,0%,1,41%,55%,0.036,6.4M,26.4%,Asia,$0B,$0B,12/1/2002
1.4%,,215975,Below Threshold,"$1,989",Below 1.5%,72,Very Friendly,Thailand,,,82257,$0,$127B,3.7%,$74,,1.8%,8%,0.069,75,68,27%,1,23%,70%,0.07,63.8M,33.8%,Asia,$10B,$4B,12/1/2002
4.0%,,161,Below Threshold,$474,Above 3%,62,Low,Timor-Leste,,,,$0,$0B,6.1%,$19,,7.6%,,,63,60,,1,50%,48%,0.025,0.9M,25.0%,Asia,,,12/1/2002
2.3%,,40245,Below Threshold,$970,1.5-3%,64,Not Clustered,Turkmenistan,,,15811,$0,$4B,3.3%,$63,,6.3%,0%,,68,60,0%,1,35%,61%,0.044,4.6M,46.4%,Asia,,,12/1/2002
2.1%,,126915,Below Threshold,$383,1.5-3%,67,Low,Uzbekistan,,,53188,$0,$10B,5.4%,$21,,5.0%,1%,,70,64,1%,1,36%,60%,0.045,25.3M,37.1%,Asia,$0B,,12/1/2002
1.7%,,70806,Below Threshold,$477,1.5-3%,74,Friendly,Vietnam,,,33441,$0,$38B,5.1%,$22,,2.6%,2%,0.091,79,69,2%,1,30%,64%,0.065,79.5M,25.5%,Asia,,,12/1/2002
1.7%,,3751,Below Threshold,"$1,458",1.5-3%,75,Friendly,Albania,,,1975,$0,$4B,6.5%,$89,,2.1%,0%,0.153,78,72,26%,1,29%,64%,0.075,3.1M,43.5%,Europe,$0B,$0B,12/1/2002
1.1%,,532,Below Threshold,"$20,327",Below 1.5%,,Not Clustered,Andorra,,,,"$18,752",$1B,5.8%,"$1,486",,0.4%,11%,,,,46%,1,,,,0.1M,91.6%,Europe,,,12/1/2002
1.0%,,67179,Below Threshold,"$25,679",Below 1.5%,79,Very Friendly,Austria,,,30447,"$23,440",$208B,10.1%,"$2,599",,0.4%,37%,,82,76,83%,1,17%,68%,0.156,8.1M,65.8%,Europe,$12B,$8B,12/1/2002
0.9%,,52390,Below Threshold,"$1,479",Below 1.5%,68,Friendly,Belarus,,,25262,$0,$15B,6.5%,$96,,0.9%,9%,0.369,74,62,5%,1,17%,69%,0.14,9.9M,70.9%,Europe,$0B,$1B,12/1/2002
1.1%,,107531,Below Threshold,"$24,465",Below 1.5%,78,Very Friendly,Belgium,,,56375,"$23,440",$253B,8.5%,"$2,075",,0.4%,46%,0.077,81,75,78%,1,17%,66%,0.171,10.3M,97.2%,Europe,$8B,$11B,12/1/2002
0.9%,,22919,Below Threshold,"$1,707",Below 1.5%,75,Moderate,Bosnia and Herzegovina,,,4407,$0,$7B,7.1%,$122,,0.7%,3%,0.127,77,73,19%,1,20%,69%,0.117,3.9M,39.3%,Europe,$0B,$0B,12/1/2002
0.9%,,44635,Below Threshold,"$2,031",Below 1.5%,72,Friendly,Bulgaria,,,18861,$0,$16B,7.6%,$154,,1.6%,9%,0.092,75,69,33%,1,15%,68%,0.17,7.9M,69.5%,Europe,$1B,$1B,12/1/2002
0.9%,,21877,Below Threshold,"$5,974",Below 1.5%,75,Friendly,Croatia,,,8245,"$4,688",$27B,6.3%,$375,,0.7%,18%,0.128,78,71,52%,1,17%,67%,0.163,4.4M,55.9%,Europe,$4B,$1B,12/1/2002
1.3%,,7022,Below Threshold,"$10,774",Below 1.5%,78,Very Friendly,Cyprus,,,2143,"$9,376",$11B,6.1%,$882,,0.5%,28%,0.072,80,76,43%,1,21%,68%,0.104,1.0M,68.7%,Europe,$2B,$1B,12/1/2002
0.9%,,120193,Below Threshold,"$7,691",Below 1.5%,76,Friendly,Czech Republic,,,42535,"$4,688",$78B,6.8%,$522,,0.5%,24%,0.067,79,72,84%,1,16%,70%,0.139,10.2M,73.8%,Europe,$3B,$2B,12/1/2002
1.2%,,49266,Below Threshold,"$32,344",Below 1.5%,77,Very Friendly,Denmark,,,19004,"$28,128",$174B,9.3%,"$3,023",,0.4%,64%,0.071,79,75,83%,1,19%,66%,0.149,5.4M,85.3%,Europe,$5B,$6B,12/1/2002
1.0%,,14936,Below Threshold,"$5,310",Below 1.5%,71,Very Friendly,Estonia,,,4713,"$4,688",$7B,4.8%,$256,,0.8%,42%,0.067,77,65,65%,1,17%,67%,0.159,1.4M,69.1%,Europe,$1B,$0B,12/1/2002
,,763,Below Threshold,"$26,564",Above 3%,80,Not Clustered,Faeroe Islands,,,,"$23,440",$1B,,,,,53%,,82,77,73%,1,,,,0.0M,38.0%,Europe,,,12/1/2002
1.1%,,61078,Below Threshold,"$25,994",Below 1.5%,79,Very Friendly,Finland,,,34819,"$23,440",$135B,7.8%,"$2,032",,0.3%,62%,0.048,82,75,87%,1,18%,67%,0.153,5.2M,82.5%,Europe,$2B,$2B,12/1/2002
1.3%,,380840,Below Threshold,"$23,494",Below 1.5%,80,Very Friendly,France,,,261182,"$23,440","$1,452B",10.6%,"$2,497",,0.4%,30%,0.066,83,76,64%,1,19%,65%,0.162,61.8M,76.4%,Europe,$41B,$28B,12/1/2002
0.9%,,828771,Below Threshold,"$24,326",Below 1.5%,78,Very Friendly,Germany,,,338553,"$23,440","$2,007B",10.7%,"$2,610",,0.4%,49%,0.097,81,75,71%,1,15%,68%,0.173,82.5M,73.2%,Europe,$27B,$59B,12/1/2002
0.9%,,93670,Below Threshold,"$13,297",Below 1.5%,79,Friendly,Greece,,,28321,"$9,376",$146B,9.1%,"$1,223",,0.6%,15%,0.074,81,76,85%,1,15%,68%,0.176,11.0M,73.3%,Europe,$10B,$2B,12/1/2002
1.0%,,56094,Below Threshold,"$6,535",Below 1.5%,73,Friendly,Hungary,,,25601,"$4,688",$66B,7.6%,$495,,0.9%,17%,0.102,77,68,68%,1,16%,68%,0.154,10.2M,65.1%,Europe,$4B,$2B,12/1/2002
1.4%,,2171,Below Threshold,"$30,979",Below 1.5%,81,Very Friendly,Iceland,,,3285,"$28,128",$9B,10.2%,"$3,156",,0.3%,79%,0.154,83,79,91%,1,23%,66%,0.117,0.3M,92.7%,Europe,$0B,$0B,12/1/2002
1.5%,,43762,Below Threshold,"$31,286",1.5-3%,78,Very Friendly,Ireland,,,14673,"$28,128",$123B,7.0%,"$2,221",,0.5%,26%,0.038,80,75,76%,1,21%,68%,0.111,3.9M,59.6%,Europe,$4B,$4B,12/1/2002
1.1%,,,Below Threshold,"$24,223",Below 1.5%,79,Not Clustered,Isle of Man,,,,"$23,440",$2B,,,,,,,82,75,,1,,,,0.1M,51.9%,Europe,,,12/1/2002
0.9%,,452632,Below Threshold,"$21,472",Below 1.5%,80,Friendly,Italy,,,172396,"$18,752","$1,225B",8.2%,"$1,761",,0.4%,28%,0.065,83,77,94%,1,14%,67%,0.189,57.1M,67.4%,Europe,$28B,$20B,12/1/2002
2.1%,,,Below Threshold,"$1,588",1.5-3%,68,Friendly,Kosovo,,,1894,$0,$3B,,,,,,,70,66,,1,,,,1.7M,,Europe,,,12/1/2002
0.9%,,6652,Below Threshold,"$4,032",Below 1.5%,71,Very Friendly,Latvia,,,4073,$0,$9B,6.3%,$248,,1.3%,22%,0.08,77,65,40%,1,17%,68%,0.158,2.3M,67.9%,Europe,$0B,$0B,12/1/2002
1.2%,,,Below Threshold,"$79,496",Below 1.5%,80,Not Clustered,Liechtenstein,,,,"$75,008",$3B,,,,,60%,,82,77,34%,1,,,,0.0M,14.9%,Europe,,,12/1/2002
0.9%,,13212,Below Threshold,"$4,114",Below 1.5%,72,Very Friendly,Lithuania,,,8865,$0,$14B,6.4%,$263,,0.9%,18%,0.068,78,66,48%,1,19%,67%,0.144,3.4M,66.8%,Europe,$1B,$0B,12/1/2002
1.2%,,9417,Below Threshold,"$50,583",Below 1.5%,79,Friendly,Luxembourg,,,3646,"$46,880",$23B,8.3%,"$4,202",,0.3%,40%,,82,75,107%,1,19%,67%,0.143,0.4M,85.3%,Europe,$3B,$2B,12/1/2002
1.2%,,10935,Below Threshold,"$1,828",Below 1.5%,74,Very Friendly,"Macedonia, FYR",,,2527,$0,$4B,9.3%,$170,,1.3%,17%,0.184,76,71,18%,1,21%,68%,0.106,2.1M,58.1%,Europe,$0B,$0B,12/1/2002
1.0%,,2299,Below Threshold,"$10,850",Below 1.5%,79,Friendly,Malta,,,734,"$9,376",$4B,7.9%,$839,,0.6%,29%,0.06,81,76,67%,1,19%,69%,0.117,0.4M,92.9%,Europe,$1B,$0B,12/1/2002
1.2%,,3986,Below Threshold,$459,Below 1.5%,67,Friendly,Moldova,,,3096,$0,$2B,8.1%,$37,,2.3%,4%,0.235,71,63,9%,1,22%,68%,0.105,3.6M,45.6%,Europe,$0B,$0B,12/1/2002
,,,Below Threshold,"$88,996",Above 3%,,Not Clustered,Monaco,,,,"$84,384",$3B,3.4%,"$2,985",,0.4%,48%,,,,46%,1,,,,0.0M,100.0%,Europe,,,12/1/2002
1.3%,,,Below Threshold,"$2,098",Below 1.5%,74,Very Friendly,Montenegro,,,,$0,$1B,8.6%,$180,,1.1%,,,77,71,,1,21%,67%,0.121,0.6M,60.6%,Europe,,,12/1/2002
1.3%,,172364,Below Threshold,"$27,111",Below 1.5%,79,Very Friendly,Netherlands,,,75706,"$23,440",$438B,8.9%,"$2,411",,0.5%,61%,0.04,81,76,75%,1,19%,68%,0.137,16.1M,79.1%,Europe,$12B,$14B,12/1/2002
1.2%,,37429,Below Threshold,"$42,292",Below 1.5%,80,Very Friendly,Norway,,,24912,"$42,192",$192B,10.4%,"$4,418",,0.4%,73%,0.087,82,77,84%,1,20%,65%,0.149,4.5M,77.0%,Europe,$3B,$6B,12/1/2002
0.9%,,296932,Below Threshold,"$5,184",Below 1.5%,75,Very Friendly,Poland,,,88855,"$4,688",$198B,6.3%,$328,,0.7%,21%,0.12,79,70,36%,1,18%,69%,0.127,38.2M,61.8%,Europe,$5B,$3B,12/1/2002
1.1%,,66820,Below Threshold,"$12,696",Below 1.5%,78,Very Friendly,Portugal,,,25824,"$9,376",$132B,9.3%,"$1,190",,0.5%,19%,,81,74,83%,1,16%,68%,0.166,10.4M,55.7%,Europe,$7B,$3B,12/1/2002
1.0%,,92174,Below Threshold,"$2,116",Below 1.5%,71,Friendly,Romania,,,38140,$0,$46B,4.6%,$97,,2.2%,7%,0.354,75,67,23%,1,17%,69%,0.14,21.7M,52.8%,Europe,$0B,$0B,12/1/2002
1.0%,,1557665,Below Threshold,"$2,373",Below 1.5%,66,Moderate,Russian Federation,,,623098,$0,$345B,6.0%,$142,,1.8%,4%,0.157,72,59,12%,1,17%,70%,0.13,145.4M,73.3%,Europe,$5B,$11B,12/1/2002
,,,Below Threshold,"$31,355",Above 3%,82,Friendly,San Marino,,,,"$28,128",$1B,6.5%,"$2,894",,0.4%,51%,0.08,85,78,60%,1,,,,0.0M,93.9%,Europe,,,12/1/2002
1.0%,,,Below Threshold,"$2,014",Below 1.5%,73,Friendly,Serbia,,,15891,$0,$15B,8.9%,$179,,1.0%,,0.197,75,70,,1,19%,67%,0.135,7.5M,53.7%,Europe,$0B,$0B,12/1/2002
1.0%,,39252,Below Threshold,"$6,442",Below 1.5%,74,Very Friendly,Slovak Republic,,,18733,"$4,688",$35B,5.6%,$256,,0.9%,40%,0.103,78,70,54%,1,19%,70%,0.115,5.4M,56.0%,Europe,$1B,$1B,12/1/2002
0.9%,,15420,Below Threshold,"$11,600",Below 1.5%,76,Very Friendly,Slovenia,,,6830,"$9,376",$23B,8.6%,"$1,000",,0.4%,28%,0.132,80,72,84%,1,15%,70%,0.147,2.0M,50.8%,Europe,$1B,$1B,12/1/2002
1.0%,,314519,Below Threshold,"$16,565",Below 1.5%,80,Very Friendly,Spain,,,128757,"$14,064",$686B,7.3%,"$1,215",,0.5%,20%,0.043,83,76,81%,1,15%,69%,0.169,41.4M,76.5%,Europe,$35B,$9B,12/1/2002
1.1%,,57425,Below Threshold,"$28,119",Below 1.5%,80,Very Friendly,Sweden,,,51784,"$23,440",$251B,9.2%,"$2,599",,0.3%,71%,0.056,82,78,89%,1,18%,65%,0.172,8.9M,84.1%,Europe,$6B,$8B,12/1/2002
1.0%,,40718,Below Threshold,"$39,350",Below 1.5%,81,Very Friendly,Switzerland,,,25888,"$37,504",$287B,10.6%,"$4,190",,0.5%,61%,0.039,83,78,79%,1,17%,68%,0.155,7.3M,73.4%,Europe,$9B,$7B,12/1/2002
2.1%,,205678,Below Threshold,"$3,576",1.5-3%,72,Friendly,Turkey,,,74248,$0,$233B,5.4%,$180,,3.0%,11%,,75,68,36%,1,30%,64%,0.063,65.0M,66.0%,Europe,$12B,$2B,12/1/2002
0.9%,,318684,Below Threshold,$879,Below 1.5%,69,Moderate,Ukraine,,,135601,$0,$42B,6.3%,$55,,1.4%,2%,0.253,74,63,8%,1,16%,69%,0.145,48.2M,67.3%,Europe,$1B,$1B,12/1/2002
1.1%,,531939,Below Threshold,"$27,301",Below 1.5%,79,Very Friendly,United Kingdom,,,218306,"$23,440","$1,621B",7.6%,"$2,065",,0.5%,57%,0.04,81,76,83%,1,19%,66%,0.158,59.4M,79.0%,Europe,$28B,$51B,12/1/2002
2.0%,,15698,Below Threshold,"$13,149",1.5-3%,75,Very Friendly,Bahrain,,,6433,"$9,376",$10B,3.9%,$510,,1.0%,18%,0.084,76,74,53%,1,30%,68%,0.024,0.7M,88.4%,Middle East,$1B,$1B,12/1/2002
1.8%,,402178,Below Threshold,"$1,719",1.5-3%,71,Low,"Iran, Islamic Rep.",,,138011,$0,$116B,5.1%,$102,,2.6%,5%,,72,69,3%,1,31%,65%,0.045,67.7M,65.5%,Middle East,$2B,$4B,12/1/2002
3.5%,,87260,Below Threshold,,Above 3%,71,Low,Iraq,,,27981,,,1.4%,$9,,3.5%,1%,,73,68,0%,1,42%,54%,0.035,25.2M,68.6%,Middle East,$0B,$0B,12/1/2002
2.1%,,63146,Below Threshold,"$17,195",1.5-3%,80,Very Friendly,Israel,,,18809,"$14,064",$113B,7.8%,"$1,334",,0.5%,18%,0.099,82,78,101%,1,28%,62%,0.1,6.6M,91.3%,Middle East,$2B,$3B,12/1/2002
3.1%,,16887,Below Threshold,"$1,902",Above 3%,73,Moderate,Jordan,,,5060,$0,$10B,9.7%,$189,,2.2%,6%,0.102,74,71,25%,1,39%,58%,0.031,5.0M,80.4%,Middle East,$1B,$1B,12/1/2002
2.2%,,52753,Below Threshold,"$18,620",1.5-3%,74,Moderate,Kuwait,,,20639,"$14,064",$38B,3.6%,$661,,1.1%,10%,0.065,74,73,60%,1,26%,71%,0.034,2.0M,98.1%,Middle East,$0B,$3B,12/1/2002
1.7%,,16039,Below Threshold,"$5,448",1.5-3%,76,Moderate,Lebanon,,,5220,"$4,688",$19B,10.0%,$546,,1.5%,7%,0.166,77,74,22%,1,28%,64%,0.072,3.5M,86.2%,Middle East,$4B,$3B,12/1/2002
2.3%,,25471,Below Threshold,"$8,685",1.5-3%,73,Very Friendly,Oman,,,8818,"$4,688",$20B,3.2%,$278,,1.3%,7%,0.085,75,71,20%,1,37%,61%,0.024,2.3M,71.5%,Middle East,$1B,$1B,12/1/2002
1.8%,,28482,Below Threshold,"$30,749",1.5-3%,77,Very Friendly,Qatar,,,13711,"$28,128",$19B,2.7%,$833,,1.0%,10%,,78,76,42%,1,27%,72%,0.016,0.6M,96.7%,Middle East,$0B,$0B,12/1/2002
2.5%,,326407,Below Threshold,"$8,639",1.5-3%,73,Very Friendly,Saudi Arabia,,,116953,"$4,688",$189B,4.3%,$375,,1.8%,6%,,75,71,23%,1,37%,60%,0.034,21.8M,80.3%,Middle East,,$7B,12/1/2002
2.9%,,39068,Below Threshold,"$1,270",1.5-3%,74,Low,Syrian Arab Republic,,,16735,$0,$22B,4.9%,$57,,1.8%,2%,0.09,76,72,2%,1,40%,57%,0.034,17.0M,52.7%,Middle East,$1B,$1B,12/1/2002
1.6%,,84704,Below Threshold,"$34,062",1.5-3%,75,Very Friendly,United Arab Emirates,,,40578,"$32,816",$110B,2.7%,$917,,0.9%,28%,,76,74,75%,1,24%,75%,0.01,3.2M,81.1%,Middle East,$1B,$4B,12/1/2002
3.8%,,15764,Below Threshold,$576,Above 3%,61,Moderate,"Yemen, Rep.",,,5100,$0,$11B,4.2%,$27,,6.4%,1%,0.177,62,60,3%,1,48%,50%,0.028,18.6M,27.3%,Middle East,$0B,$0B,12/1/2002
,,,Below Threshold,,Above 3%,,Not Clustered,American Samoa,,,,,,,,,,,,,,4%,1,,,,0.1M,88.4%,Oceania,,,12/1/2002
1.3%,,341002,Below Threshold,"$20,072",Below 1.5%,80,Very Friendly,Australia,,,109461,"$18,752",$394B,8.4%,"$1,847",,0.5%,,0.082,83,77,64%,1,20%,67%,0.126,19.7M,87.5%,Oceania,$14B,$8B,12/1/2002
2.4%,,836,Below Threshold,"$2,258",1.5-3%,68,Friendly,Fiji,,,,$0,$2B,3.5%,$79,,2.0%,6%,0.081,71,65,11%,1,33%,63%,0.037,0.8M,48.7%,Oceania,$0B,$0B,12/1/2002
1.9%,,737,Below Threshold,,1.5-3%,73,Not Clustered,French Polynesia,,,,,,,,,,8%,,76,70,21%,1,30%,65%,0.045,0.2M,55.9%,Oceania,$0B,$0B,12/1/2002
2.1%,,,Below Threshold,,1.5-3%,76,Not Clustered,Guam,,,,,,,,,,31%,,78,73,45%,1,30%,64%,0.058,0.2M,93.3%,Oceania,,,12/1/2002
2.7%,,40,Below Threshold,$842,1.5-3%,66,Moderate,Kiribati,,,,$0,$0B,8.8%,$76,,5.2%,3%,,68,63,1%,1,39%,58%,0.035,0.1M,43.5%,Oceania,,,12/1/2002
,,84,Above Threshold,"$2,391",Above 3%,,Moderate,Marshall Islands,,,,$0,$0B,18.2%,$418,,3.3%,2%,,,,1%,1,,,,0.1M,69.0%,Oceania,$0B,$0B,12/1/2002
2.8%,,147,Below Threshold,"$2,258",1.5-3%,68,Low,"Micronesia, Fed. Sts.",,,,$0,$0B,7.9%,$178,,4.0%,6%,0.153,68,67,0%,1,40%,57%,0.039,0.1M,22.3%,Oceania,$0B,$0B,12/1/2002
1.9%,,2428,Below Threshold,,1.5-3%,75,Not Clustered,New Caledonia,,,,,,,,,,22%,,79,71,37%,1,28%,66%,0.062,0.2M,62.6%,Oceania,$0B,$0B,12/1/2002
1.4%,,33201,Below Threshold,"$16,721",Below 1.5%,79,Very Friendly,New Zealand,,,17119,"$14,064",$66B,8.0%,"$1,244",,0.6%,59%,0.072,81,77,62%,1,22%,66%,0.118,3.9M,85.9%,Oceania,$3B,$1B,12/1/2002
3.4%,,3513,Below Threshold,$530,Above 3%,60,Moderate,Papua New Guinea,,,,$0,$3B,4.6%,$24,,5.7%,1%,0.139,62,57,0%,1,40%,57%,0.025,5.7M,13.2%,Oceania,$0B,$0B,12/1/2002
3.0%,,143,Below Threshold,"$1,454",Above 3%,70,Friendly,Samoa,,,,$0,$0B,5.5%,$83,,1.8%,2%,0.114,73,67,2%,1,40%,55%,0.046,0.2M,21.9%,Oceania,$0B,,12/1/2002
3.5%,,172,Below Threshold,$786,Above 3%,65,Friendly,Solomon Islands,,,,$0,$0B,6.1%,$48,,2.9%,1%,0.146,66,63,0%,1,42%,56%,0.029,0.4M,16.6%,Oceania,$0B,$0B,12/1/2002
2.9%,,147,Below Threshold,"$1,835",1.5-3%,71,Friendly,Tonga,,,,$0,$0B,5.0%,$92,,1.5%,3%,0.114,73,69,3%,1,38%,56%,0.059,0.1M,23.1%,Oceania,$0B,$0B,12/1/2002
3.1%,,84,Below Threshold,"$1,354",Above 3%,69,Friendly,Vanuatu,,,,$0,$0B,3.8%,$52,,1.9%,4%,0.074,70,67,3%,1,41%,56%,0.033,0.2M,22.2%,Oceania,$0B,$0B,12/1/2002
2.0%,,363,Below Threshold,"$10,078",1.5-3%,74,Friendly,Antigua and Barbuda,,,,"$9,376",$1B,4.3%,$433,,1.2%,13%,0.114,76,71,48%,1,29%,64%,0.07,0.1M,31.1%,The Americas,$0B,$0B,12/1/2002
1.8%,,123266,Below Threshold,"$3,285",1.5-3%,75,Moderate,Argentina,,,55386,$0,$124B,8.3%,$225,,1.7%,11%,0.517,78,71,18%,1,27%,63%,0.101,37.6M,89.5%,The Americas,$2B,$3B,12/1/2002
1.3%,,2255,Below Threshold,"$20,434",Below 1.5%,74,Not Clustered,Aruba,,,,"$18,752",$2B,,,,,19%,0.131,76,71,65%,1,23%,70%,0.079,0.1M,46.0%,The Americas,$1B,$0B,12/1/2002
1.6%,,1577,Below Threshold,"$22,515",1.5-3%,73,Friendly,"Bahamas, The",,,,"$18,752",$7B,5.3%,"$1,183",,1.3%,18%,0.06,76,70,39%,1,28%,66%,0.057,0.3M,82.1%,The Americas,$2B,$0B,12/1/2002
1.3%,,1228,Below Threshold,"$11,756",Below 1.5%,74,Friendly,Barbados,,,,"$9,376",$3B,7.4%,$677,,1.5%,28%,0.085,76,71,36%,1,21%,67%,0.114,0.3M,33.5%,The Americas,$1B,$0B,12/1/2002
2.8%,,359,Below Threshold,"$3,705",1.5-3%,72,Moderate,Belize,,,,$0,$1B,4.4%,$162,,2.0%,6%,0.148,75,68,21%,1,39%,57%,0.042,0.3M,47.1%,The Americas,$0B,$0B,12/1/2002
